WKT,left,top,right,bottom,id
"POLYGON ((131314.304350413 7100378.11301825,231314.304350413 7100378.11301825,231314.304350413 7000378.11301825,131314.304350413 7000378.11301825,131314.304350413 7100378.11301825))",131314.30435041257,7100378.113018246,231314.30435041257,7000378.113018246,106
"POLYGON ((131314.304350413 7000378.11301825,231314.304350413 7000378.11301825,231314.304350413 6900378.11301825,131314.304350413 6900378.11301825,131314.304350413 7000378.11301825))",131314.30435041257,7000378.113018246,231314.30435041257,6900378.113018246,107
"POLYGON ((131314.304350413 6900378.11301825,231314.304350413 6900378.11301825,231314.304350413 6800378.11301825,131314.304350413 6800378.11301825,131314.304350413 6900378.11301825))",131314.30435041257,6900378.113018246,231314.30435041257,6800378.113018246,108
"POLYGON ((131314.304350413 6800378.11301825,231314.304350413 6800378.11301825,231314.304350413 6700378.11301825,131314.304350413 6700378.11301825,131314.304350413 6800378.11301825))",131314.30435041257,6800378.113018246,231314.30435041257,6700378.113018246,109
"POLYGON ((131314.304350413 6700378.11301825,231314.304350413 6700378.11301825,231314.304350413 6600378.11301825,131314.304350413 6600378.11301825,131314.304350413 6700378.11301825))",131314.30435041257,6700378.113018246,231314.30435041257,6600378.113018246,110
"POLYGON ((131314.304350413 6600378.11301825,231314.304350413 6600378.11301825,231314.304350413 6500378.11301825,131314.304350413 6500378.11301825,131314.304350413 6600378.11301825))",131314.30435041257,6600378.113018246,231314.30435041257,6500378.113018246,111
"POLYGON ((131314.304350413 6500378.11301825,231314.304350413 6500378.11301825,231314.304350413 6400378.11301825,131314.304350413 6400378.11301825,131314.304350413 6500378.11301825))",131314.30435041257,6500378.113018246,231314.30435041257,6400378.113018246,112
"POLYGON ((231314.304350413 7400378.11301825,331314.304350413 7400378.11301825,331314.304350413 7300378.11301825,231314.304350413 7300378.11301825,231314.304350413 7400378.11301825))",231314.30435041257,7400378.113018246,331314.30435041257,7300378.113018246,122
"POLYGON ((231314.304350413 7300378.11301825,331314.304350413 7300378.11301825,331314.304350413 7200378.11301825,231314.304350413 7200378.11301825,231314.304350413 7300378.11301825))",231314.30435041257,7300378.113018246,331314.30435041257,7200378.113018246,123
"POLYGON ((231314.304350413 7200378.11301825,331314.304350413 7200378.11301825,331314.304350413 7100378.11301825,231314.304350413 7100378.11301825,231314.304350413 7200378.11301825))",231314.30435041257,7200378.113018246,331314.30435041257,7100378.113018246,124
